"crym","admd_c","ana_mgpo_nm","ana_ccd_nm","admd_nm","dayofweek","sl_am","sl_ct"
202306,1111067000,"서울특별시","종로구","창신1동","Fri",380740,12
202306,1111067000,"서울특별시","종로구","창신1동","Mon",178150,7
202306,1111067000,"서울특별시","종로구","창신1동","Sat",461410,16
202306,1111067000,"서울특별시","종로구","창신1동","Sun",465350,14
202306,1111067000,"서울특별시","종로구","창신1동","Thu",413950,14
202306,1111067000,"서울특별시","종로구","창신1동","Tue",463710,16
202306,1111067000,"서울특별시","종로구","창신1동","Wed",218210,6
202306,1111068000,"서울특별시","종로구","창신2동","Fri",407840,14
202306,1111068000,"서울특별시","종로구","창신2동","Mon",270453,13
202306,1111068000,"서울특별시","종로구","창신2동","Sat",430952,16
202306,1111068000,"서울특별시","종로구","창신2동","Sun",558870,20
202306,1111068000,"서울특별시","종로구","창신2동","Tue",329215,11
202306,1111068000,"서울특별시","종로구","창신2동","Wed",318242,12
202306,1111069000,"서울특별시","종로구","창신3동","Fri",1111900,41
202306,1111069000,"서울특별시","종로구","창신3동","Mon",725600,28
202306,1111069000,"서울특별시","종로구","창신3동","Sat",1325864,51
202306,1111069000,"서울특별시","종로구","창신3동","Sun",1298172,46
202306,1111069000,"서울특별시","종로구","창신3동","Thu",814520,35
202306,1111069000,"서울특별시","종로구","창신3동","Tue",1045342,41
202306,1111069000,"서울특별시","종로구","창신3동","Wed",1118710,46
202306,1111070000,"서울특별시","종로구","숭인1동","Fri",404395,16
202306,1111070000,"서울특별시","종로구","숭인1동","Mon",552000,24
202306,1111070000,"서울특별시","종로구","숭인1동","Sat",702045,24
202306,1111070000,"서울특별시","종로구","숭인1동","Sun",1191480,51
202306,1111070000,"서울특별시","종로구","숭인1동","Thu",502004,22
202306,1111070000,"서울특별시","종로구","숭인1동","Tue",609530,25
202306,1111070000,"서울특별시","종로구","숭인1동","Wed",611030,24
202306,1111071000,"서울특별시","종로구","숭인2동","Fri",1794564,71
202306,1111071000,"서울특별시","종로구","숭인2동","Mon",1753644,73
202306,1111071000,"서울특별시","종로구","숭인2동","Sat",2716671,112
202306,1111071000,"서울특별시","종로구","숭인2동","Sun",2293932,94
202306,1111071000,"서울특별시","종로구","숭인2동","Thu",2185602,91
202306,1111071000,"서울특별시","종로구","숭인2동","Tue",1772814,73
202306,1111071000,"서울특별시","종로구","숭인2동","Wed",2226049,89
202306,1114052000,"서울특별시","중구","소공동","Fri",2294194,88
202306,1114052000,"서울특별시","중구","소공동","Mon",2040409,84
202306,1114052000,"서울특별시","중구","소공동","Sat",3366239,117
202306,1114052000,"서울특별시","중구","소공동","Sun",3407649,127
202306,1114052000,"서울특별시","중구","소공동","Thu",2380474,89
202306,1114052000,"서울특별시","중구","소공동","Tue",2610527,103
202306,1114052000,"서울특별시","중구","소공동","Wed",2554507,94
202306,1114054000,"서울특별시","중구","회현동","Fri",2134395,74
202306,1114054000,"서울특별시","중구","회현동","Mon",1017925,39
202306,1114054000,"서울특별시","중구","회현동","Sat",3955868,129
202306,1114054000,"서울특별시","중구","회현동","Sun",3067996,111
202306,1114054000,"서울특별시","중구","회현동","Thu",1930361,74
202306,1114054000,"서울특별시","중구","회현동","Tue",1929578,78
202306,1114054000,"서울특별시","중구","회현동","Wed",1947426,77
202306,1114055000,"서울특별시","중구","명동","Fri",1759259,61
202306,1114055000,"서울특별시","중구","명동","Mon",1144188,47
202306,1114055000,"서울특별시","중구","명동","Sat",3295358,124
202306,1114055000,"서울특별시","중구","명동","Sun",2963992,108
202306,1114055000,"서울특별시","중구","명동","Thu",1691990,69
202306,1114055000,"서울특별시","중구","명동","Tue",1657607,64
202306,1114055000,"서울특별시","중구","명동","Wed",1338530,52
202306,1114057000,"서울특별시","중구","필동","Fri",597680,22
202306,1114057000,"서울특별시","중구","필동","Mon",365597,16
202306,1114057000,"서울특별시","중구","필동","Sat",1162379,41
202306,1114057000,"서울특별시","중구","필동","Sun",772071,32
202306,1114057000,"서울특별시","중구","필동","Thu",544176,25
202306,1114057000,"서울특별시","중구","필동","Tue",298740,12
202306,1114057000,"서울특별시","중구","필동","Wed",310450,14
202306,1114058000,"서울특별시","중구","장충동","Fri",531050,22
202306,1114058000,"서울특별시","중구","장충동","Mon",341230,13
202306,1114058000,"서울특별시","중구","장충동","Sat",1538382,59
202306,1114058000,"서울특별시","중구","장충동","Sun",1183908,47
202306,1114058000,"서울특별시","중구","장충동","Thu",643211,27
202306,1114058000,"서울특별시","중구","장충동","Tue",113588,6
202306,1114058000,"서울특별시","중구","장충동","Wed",626535,28
202306,1114059000,"서울특별시","중구","광희동","Fri",938635,40
202306,1114059000,"서울특별시","중구","광희동","Mon",816584,32
202306,1114059000,"서울특별시","중구","광희동","Sat",1997109,75
202306,1114059000,"서울특별시","중구","광희동","Sun",1768366,67
202306,1114059000,"서울특별시","중구","광희동","Thu",826138,31
202306,1114059000,"서울특별시","중구","광희동","Tue",943590,32
202306,1114059000,"서울특별시","중구","광희동","Wed",753978,30
202306,1114060500,"서울특별시","중구","을지로동","Fri",425840,17
202306,1114060500,"서울특별시","중구","을지로동","Mon",236330,12
202306,1114060500,"서울특별시","중구","을지로동","Sat",610032,25
202306,1114060500,"서울특별시","중구","을지로동","Sun",706000,27
202306,1114060500,"서울특별시","중구","을지로동","Thu",377820,14
202306,1114060500,"서울특별시","중구","을지로동","Tue",284380,11
202306,1114060500,"서울특별시","중구","을지로동","Wed",370040,13
